trial_index,test_size,window_size,hidden_size,num_layers,batch_size,lr,epochs,mae,mape,mse,rmse,r2,sd,runtime_s,started_at,epochs_ran
0,4,46,512,1,32,0.0001498578319713632,2000,120.92385551741224,10.604986338175998,23259.892208585836,145.42822047617938,-2.676074454314298,3.97321743330407,11.968498,2026-01-19T21:00:35,103.0
1,4,43,128,3,32,9.669814745192902e-05,2000,172.08270984690185,15.02017358460111,36482.745000926625,187.91028606691717,-5.202043950316877,3.259580096288535,7.072069,2026-01-19T21:00:47,105.0
2,4,32,32,1,128,0.00036474769325008056,2000,308.71821522728675,26.178007503917726,120829.94175408148,347.59826798412354,-21.155636103601065,2.0340561057322604,1.949416,2026-01-19T21:00:54,106.66666666666667
3,4,26,256,3,32,5.554959564560146e-05,2000,127.05768455208896,11.17100490139933,22304.49442020795,147.70200837127516,-2.838503113463522,2.830271013958892,17.254294,2026-01-19T21:00:56,105.0
4,4,40,32,2,128,0.0007831715919678105,2000,189.32224303553244,16.518741120054226,50363.015281550615,220.64178742398016,-7.700034196056246,3.9024129099226594,4.488842,2026-01-19T21:01:13,227.0
5,4,32,32,2,128,1.2314578337014767e-05,2000,138.89462223523603,12.232096714351846,39536.76990437175,192.8932246489596,-5.555479427404534,3.6294790397183188,6.272388,2026-01-19T21:01:18,316.3333333333333
6,4,27,512,1,32,1.6034326878058762e-05,2000,112.66510572005824,9.965872073904015,18828.678128605465,134.4654742786564,-2.071252732784433,2.145050932087392,9.534347,2026-01-19T21:01:24,109.66666666666667
7,4,35,1024,2,32,0.00021200513250890676,2000,162.77952373530735,14.188817307250048,33347.93755889426,180.29779655835577,-4.8725346398956395,3.0701670399494057,35.043699,2026-01-19T21:01:33,110.0
8,4,37,64,3,128,0.00015506936704004907,2000,114.63180567125022,9.874227253174816,15585.464112185053,122.56068645055596,-1.5563065591647245,2.079097964913769,2.727184,2026-01-19T21:02:08,113.33333333333333
9,4,37,64,1,64,1.0175903037957434e-05,2000,207.49727723282362,17.54914662539558,64350.124872041015,249.69134148252192,-9.368214823250472,2.818068154321183,6.612601,2026-01-19T21:02:11,244.66666666666666
10,4,35,64,3,128,4.290487910448521e-05,2000,109.90956649481792,9.460760876540737,14227.674860225437,117.11701306906622,-1.3005076379690874,2.001700901756801,3.418566,2026-01-19T21:02:18,142.33333333333334
11,4,37,32,4,128,6.849781707583287e-05,2000,122.21871652007896,10.689284452086332,19467.78407720275,134.9895069324247,-1.9552148511083314,2.943733830567074,7.998604,2026-01-19T21:02:23,331.0
12,4,37,128,4,128,7.226831120370836e-05,2000,96.72326685289084,8.412133571190152,14119.79044543651,114.77496050288367,-1.1288036636846053,2.0034654360579554,4.641117,2026-01-19T21:02:31,118.66666666666667
13,4,38,128,3,128,6.349391523475788e-05,2000,158.25128894846438,13.6626607699818,29197.8125522698,168.03539959450495,-3.9168253477837873,3.1070036668815173,3.856221,2026-01-19T21:02:37,119.0
14,4,31,64,4,128,9.559758211773344e-05,2000,108.94619789429974,9.403514793796715,19112.859065568962,134.49587060574066,-2.0730017851748843,2.376139875928696,3.420402,2026-01-19T21:02:42,126.66666666666667
15,4,37,64,4,128,9.141726780082348e-05,2000,102.29831284219848,8.756266837375785,14667.286329073768,120.76535281997566,-1.5543811107150518,0.7281517624477638,3.214169,2026-01-19T21:02:46,127.0
